Stock Item Key;WWI Stock Item ID;Stock Item;Color;Selling Package;Buying Package;Brand;Size;Lead Time Days;Quantity Per Outer;Is Chiller Stock;Tax Rate;Unit Price;Recommended Retail Price;Typical Weight Per Unit
2093;194;Black and orange glass with care despatch tape  48mmx100m;N/A;Each;Each;N/A;48mmx100m;14;24;False;14;4,1;6,13;0,7
2094;193;Black and orange glass with care despatch tape 48mmx75m;N/A;Each;Each;N/A;48mmx75m;14;24;False;14;3,7;5,53;0,5
2095;73;Ride on vintage American toy coupe (Red) 1/12 scale;Red;Each;Each;Northwind;1/12 scale;14;1;False;14;285;426,08;18
2096;71;Ride on toy sedan car (Yellow) 1/12 scale;Yellow;Each;Each;Northwind;1/12 scale;14;1;False;14;230;343,85;15
2097;51;Developer joke mug - old C developers never die (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2098;50;Developer joke mug - old C developers never die (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2099;49;Developer joke mug - this code was generated by a tool (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2100;48;Developer joke mug - this code was generated by a tool (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2101;35;Developer joke mug - fun was unexpected at this time (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2102;34;Developer joke mug - fun was unexpected at this time (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2103;51;Developer joke mug - old C developers never die (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2104;50;Developer joke mug - old C developers never die (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2105;49;Developer joke mug - this code was generated by a tool (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2106;48;Developer joke mug - this code was generated by a tool (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2107;35;Developer joke mug - fun was unexpected at this time (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2108;34;Developer joke mug - fun was unexpected at this time (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2109;202;Red and white urgent  heavy despatch tape  48mmx100m;N/A;Each;Each;N/A;48mmx100m;14;24;False;14;4,1;6,13;0,7
2110;198;Black and orange this way up despatch tape  48mmx100m;N/A;Each;Each;N/A;48mmx100m;14;24;False;14;4,1;6,13;0,7
2111;196;Black and orange handle with care despatch tape  48mmx100m;N/A;Each;Each;N/A;48mmx100m;14;24;False;14;4,1;6,13;0,7
2112;195;Black and orange handle with care despatch tape  48mmx75m;N/A;Each;Each;N/A;48mmx75m;14;24;False;14;3,7;5,53;0,5
2113;194;Black and orange glass with care despatch tape  48mmx100m;N/A;Each;Each;N/A;48mmx100m;14;24;False;14;4,1;6,13;0,7
2114;193;Black and orange glass with care despatch tape 48mmx75m;N/A;Each;Each;N/A;48mmx75m;14;24;False;14;3,7;5,53;0,5
2115;71;Ride on toy sedan car (Yellow) 1/12 scale;Yellow;Each;Each;Northwind;1/12 scale;14;1;False;14;230;343,85;15
2116;73;Ride on vintage American toy coupe (Red) 1/12 scale;Red;Each;Each;Northwind;1/12 scale;14;1;False;14;285;426,08;18
2117;73;Ride on vintage American toy coupe (Red) 1/12 scale;Red;Each;Each;Northwind;1/12 scale;14;1;False;14;285;426,08;18
2118;71;Ride on toy sedan car (Yellow) 1/12 scale;Yellow;Each;Each;Northwind;1/12 scale;14;1;False;14;230;343,85;15
2119;73;Ride on vintage American toy coupe (Red) 1/12 scale;Red;Each;Each;Northwind;1/12 scale;14;1;False;14;285;426,08;18
2120;34;Developer joke mug - fun was unexpected at this time (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2121;35;Developer joke mug - fun was unexpected at this time (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2122;48;Developer joke mug - this code was generated by a tool (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2123;49;Developer joke mug - this code was generated by a tool (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2124;50;Developer joke mug - old C developers never die (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2125;51;Developer joke mug - old C developers never die (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2126;193;Black and orange glass with care despatch tape 48mmx75m;N/A;Each;Each;N/A;48mmx75m;14;24;False;14;3,7;5,53;0,5
2127;194;Black and orange glass with care despatch tape  48mmx100m;N/A;Each;Each;N/A;48mmx100m;14;24;False;14;4,1;6,13;0,7
2128;195;Black and orange handle with care despatch tape  48mmx75m;N/A;Each;Each;N/A;48mmx75m;14;24;False;14;3,7;5,53;0,5
2129;196;Black and orange handle with care despatch tape  48mmx100m;N/A;Each;Each;N/A;48mmx100m;14;24;False;14;4,1;6,13;0,7
2130;198;Black and orange this way up despatch tape  48mmx100m;N/A;Each;Each;N/A;48mmx100m;14;24;False;14;4,1;6,13;0,7
2131;202;Red and white urgent  heavy despatch tape  48mmx100m;N/A;Each;Each;N/A;48mmx100m;14;24;False;14;4,1;6,13;0,7
2132;205;Tape dispenser (Blue);N/A;Each;Each;N/A;N/A;20;10;False;20;32;47,84;1
2133;204;Tape dispenser (Red);N/A;Each;Each;N/A;N/A;20;10;False;20;32;47,84;1
2134;203;Tape dispenser (Black);N/A;Each;Each;N/A;N/A;20;10;False;20;32;47,84;1
2135;205;Tape dispenser (Blue);N/A;Each;Each;N/A;N/A;20;10;False;20;32;47,84;1
2136;204;Tape dispenser (Red);N/A;Each;Each;N/A;N/A;20;10;False;20;32;47,84;1
2137;203;Tape dispenser (Black);N/A;Each;Each;N/A;N/A;20;10;False;20;32;47,84;1
2138;203;Tape dispenser (Black);N/A;Each;Each;N/A;N/A;20;10;False;20;32;47,84;1
2139;204;Tape dispenser (Red);N/A;Each;Each;N/A;N/A;20;10;False;20;32;47,84;1
2140;205;Tape dispenser (Blue);N/A;Each;Each;N/A;N/A;20;10;False;20;32;47,84;1
2141;206;Permanent marker black 5mm nib (Black) 5mm;N/A;Each;Each;N/A;5mm;14;12;False;14;2,7;4,04;0,1
2142;201;Red and white urgent despatch tape 48mmx75m;N/A;Each;Each;N/A;48mmx75m;14;24;False;14;3,7;5,53;0,5
2143;186;Shipping carton (Brown) 457x457x457mm;N/A;Each;Each;N/A;457x457x457mm;14;25;False;14;2,1;3,14;0,4
2144;185;Shipping carton (Brown) 356x356x279mm;N/A;Each;Each;N/A;356x356x279mm;14;25;False;14;2,04;3,05;0,3
2145;184;Shipping carton (Brown) 305x305x305mm;N/A;Each;Each;N/A;305x305x305mm;14;25;False;14;3,5;5,23;0,3
2146;183;Shipping carton (Brown) 480x270x320mm;N/A;Each;Each;N/A;480x270x320mm;14;25;False;14;2,74;4,1;0,4
2147;182;Shipping carton (Brown) 457x279x279mm;N/A;Each;Each;N/A;457x279x279mm;14;25;False;14;1,28;1,91;0,4
2148;181;Shipping carton (Brown) 356x229x229mm;N/A;Each;Each;N/A;356x229x229mm;14;25;False;14;1,14;1,7;0,4
2149;180;Shipping carton (Brown) 279x254x217mm;N/A;Each;Each;N/A;279x254x217mm;14;25;False;14;1,11;1,66;0,3
2150;179;Shipping carton (Brown) 229x229x229mm;N/A;Each;Each;N/A;229x229x229mm;14;25;False;14;1,05;1,57;0,3
2151;178;Shipping carton (Brown) 500x310x310mm;N/A;Each;Each;N/A;500x310x310mm;14;25;False;14;2,55;3,81;0,4
2152;177;Shipping carton (Brown) 413x285x187mm;N/A;Each;Each;N/A;413x285x187mm;14;25;False;14;1,05;1,57;0,3
2153;173;32 mm Anti static bubble wrap (Blue) 50m;Blue;Each;Each;N/A;50m;14;10;False;14;105;156,98;10
2154;172;32 mm Anti static bubble wrap (Blue) 20m;Blue;Each;Each;N/A;20m;14;10;False;14;48;71,76;6
2155;171;32 mm Anti static bubble wrap (Blue) 10m;Blue;Each;Each;N/A;10m;14;10;False;14;32;47,84;5
2156;170;20 mm Anti static bubble wrap (Blue) 50m;Blue;Each;Each;N/A;50m;14;10;False;14;102;152,49;10
2157;169;20 mm Anti static bubble wrap (Blue) 20m;Blue;Each;Each;N/A;20m;14;10;False;14;45;67,28;6
2158;168;20 mm Anti static bubble wrap (Blue) 10m;Blue;Each;Each;N/A;10m;14;10;False;14;29;43,36;5
2159;167;10 mm Anti static bubble wrap (Blue) 50m;Blue;Each;Each;N/A;50m;14;10;False;14;99;148,01;10
2160;166;10 mm Anti static bubble wrap (Blue) 20m;Blue;Each;Each;N/A;20m;14;10;False;14;42;62,79;6
2161;165;10 mm Anti static bubble wrap (Blue) 10m;Blue;Each;Each;N/A;10m;14;10;False;14;26;38,87;5
2162;145;Halloween zombie mask (Light Brown) XL;Light Brown;Each;Carton;N/A;XL;12;12;False;12;18;26,91;0,3
2163;144;Halloween zombie mask (Light Brown) L;Light Brown;Each;Carton;N/A;L;12;12;False;12;18;26,91;0,3
2164;143;Halloween zombie mask (Light Brown) M;Light Brown;Each;Carton;N/A;M;12;12;False;12;18;26,91;0,3
2165;142;Halloween zombie mask (Light Brown) S;Light Brown;Each;Carton;N/A;S;12;12;False;12;18;26,91;0,3
2166;133;Furry gorilla with big eyes slippers (Black) XL;Black;Each;Each;N/A;XL;12;1;False;12;32;47,84;0,4
2167;132;Furry gorilla with big eyes slippers (Black) L;Black;Each;Each;N/A;L;12;1;False;12;32;47,84;0,35
2168;131;Furry gorilla with big eyes slippers (Black) M;Black;Each;Each;N/A;M;12;1;False;12;32;47,84;0,35
2169;130;Furry gorilla with big eyes slippers (Black) S;Black;Each;Each;N/A;S;12;1;False;12;32;47,84;0,35
2170;121;Dinosaur battery-powered slippers (Green) XL;N/A;Each;Each;N/A;XL;12;1;False;12;32;47,84;0,4
2171;120;Dinosaur battery-powered slippers (Green) L;N/A;Each;Each;N/A;L;12;1;False;12;32;47,84;0,35
2172;119;Dinosaur battery-powered slippers (Green) M;N/A;Each;Each;N/A;M;12;1;False;12;32;47,84;0,35
2173;118;Dinosaur battery-powered slippers (Green) S;N/A;Each;Each;N/A;S;12;1;False;12;32;47,84;0,35
2174;95;"The Gu"" red shirt XML tag t-shirt (Black) XL""";Black;Each;Carton;N/A;XL;7;12;False;7;18;26,91;0,35
2175;94;"The Gu"" red shirt XML tag t-shirt (Black) L""";Black;Each;Carton;N/A;L;7;12;False;7;18;26,91;0,35
2176;93;"The Gu"" red shirt XML tag t-shirt (Black) M""";Black;Each;Carton;N/A;M;7;12;False;7;18;26,91;0,35
2177;92;"The Gu"" red shirt XML tag t-shirt (Black) S""";Black;Each;Carton;N/A;S;7;12;False;7;18;26,91;0,3
2178;91;"The Gu"" red shirt XML tag t-shirt (Black) XS""";Black;Each;Carton;N/A;XS;7;12;False;7;18;26,91;0,25
2179;82;"The Gu"" red shirt XML tag t-shirt (White) XL""";White;Each;Carton;N/A;XL;7;12;False;7;18;26,91;0,35
2180;81;"The Gu"" red shirt XML tag t-shirt (White) L""";White;Each;Carton;N/A;L;7;12;False;7;18;26,91;0,35
2181;80;"The Gu"" red shirt XML tag t-shirt (White) M""";White;Each;Carton;N/A;M;7;12;False;7;18;26,91;0,35
2182;79;"The Gu"" red shirt XML tag t-shirt (White) S""";White;Each;Carton;N/A;S;7;12;False;7;18;26,91;0,3
2183;78;"The Gu"" red shirt XML tag t-shirt (White) XS""";White;Each;Carton;N/A;XS;7;12;False;7;18;26,91;0,25
2184;41;Developer joke mug - (hip, hip, array) (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2185;40;Developer joke mug - (hip, hip, array) (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2186;31;Developer joke mug - Oct 31 = Dec 25 (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2187;30;Developer joke mug - Oct 31 = Dec 25 (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2188;29;DBA joke mug - two types of DBAs (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2189;28;DBA joke mug - two types of DBAs (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2190;25;DBA joke mug - I will get you in order (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2191;24;DBA joke mug - I will get you in order (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2192;21;DBA joke mug - you might be a DBA if (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2193;20;DBA joke mug - you might be a DBA if (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2194;17;DBA joke mug - mind if I join you? (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2195;16;DBA joke mug - mind if I join you? (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2196;221;Novelty chilli chocolates 500g;N/A;Bag;Carton;N/A;500g;3;12;True;3;14,5;20,74;0,5
2197;220;Novelty chilli chocolates 250g;N/A;Bag;Carton;N/A;250g;3;24;True;3;8,55;12,23;0,25
2198;227;White chocolate moon rocks 250g;N/A;Bag;Carton;N/A;250g;3;24;True;3;8,55;12,23;0,25
2199;226;White chocolate snow balls 250g;N/A;Bag;Carton;N/A;250g;3;24;True;3;8,55;12,23;0,25
2200;41;Developer joke mug - (hip, hip, array) (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2201;40;Developer joke mug - (hip, hip, array) (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2202;31;Developer joke mug - Oct 31 = Dec 25 (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2203;30;Developer joke mug - Oct 31 = Dec 25 (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2204;29;DBA joke mug - two types of DBAs (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2205;28;DBA joke mug - two types of DBAs (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2206;25;DBA joke mug - I will get you in order (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2207;24;DBA joke mug - I will get you in order (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2208;21;DBA joke mug - you might be a DBA if (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2209;20;DBA joke mug - you might be a DBA if (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2210;17;DBA joke mug - mind if I join you? (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2211;16;DBA joke mug - mind if I join you? (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2212;206;Permanent marker black 5mm nib (Black) 5mm;N/A;Each;Each;N/A;5mm;14;12;False;14;2,7;4,04;0,1
2213;201;Red and white urgent despatch tape 48mmx75m;N/A;Each;Each;N/A;48mmx75m;14;24;False;14;3,7;5,53;0,5
2214;186;Shipping carton (Brown) 457x457x457mm;N/A;Each;Each;N/A;457x457x457mm;14;25;False;14;2,1;3,14;0,4
2215;185;Shipping carton (Brown) 356x356x279mm;N/A;Each;Each;N/A;356x356x279mm;14;25;False;14;2,04;3,05;0,3
2216;184;Shipping carton (Brown) 305x305x305mm;N/A;Each;Each;N/A;305x305x305mm;14;25;False;14;3,5;5,23;0,3
2217;183;Shipping carton (Brown) 480x270x320mm;N/A;Each;Each;N/A;480x270x320mm;14;25;False;14;2,74;4,1;0,4
2218;182;Shipping carton (Brown) 457x279x279mm;N/A;Each;Each;N/A;457x279x279mm;14;25;False;14;1,28;1,91;0,4
2219;181;Shipping carton (Brown) 356x229x229mm;N/A;Each;Each;N/A;356x229x229mm;14;25;False;14;1,14;1,7;0,4
2220;180;Shipping carton (Brown) 279x254x217mm;N/A;Each;Each;N/A;279x254x217mm;14;25;False;14;1,11;1,66;0,3
2221;179;Shipping carton (Brown) 229x229x229mm;N/A;Each;Each;N/A;229x229x229mm;14;25;False;14;1,05;1,57;0,3
2222;178;Shipping carton (Brown) 500x310x310mm;N/A;Each;Each;N/A;500x310x310mm;14;25;False;14;2,55;3,81;0,4
2223;177;Shipping carton (Brown) 413x285x187mm;N/A;Each;Each;N/A;413x285x187mm;14;25;False;14;1,05;1,57;0,3
2224;173;32 mm Anti static bubble wrap (Blue) 50m;Blue;Each;Each;N/A;50m;14;10;False;14;105;156,98;10
2225;172;32 mm Anti static bubble wrap (Blue) 20m;Blue;Each;Each;N/A;20m;14;10;False;14;48;71,76;6
2226;171;32 mm Anti static bubble wrap (Blue) 10m;Blue;Each;Each;N/A;10m;14;10;False;14;32;47,84;5
2227;170;20 mm Anti static bubble wrap (Blue) 50m;Blue;Each;Each;N/A;50m;14;10;False;14;102;152,49;10
